UTC,Longitude (deg),Latitude (deg),Elevation (m),TB X (K),TB K (K),TB Ka (K),Antenna Longitude (deg),Antenna Latitude (deg),Antenna Altitude (m),Antenna Yaw (deg),Antenna Pitch (deg),Antenna Look Angle (deg)
20200211-18:35:00.950200,-108.192277,39.03977,3056,253.7,251.3,247.5,-108.054057,38.941842,4522.7,2.16,3.99,44.7
20200211-18:35:01.050200,-108.192277,39.039678,3056,256,253.5,246.3,-108.054059,38.941845,4522.7,2.19,4,44.7
20200211-18:35:01.150200,-108.192185,39.039678,3056,253.2,253,245.9,-108.054062,38.941847,4522.7,2.18,3.99,44.7
20200211-18:35:01.250200,-108.192092,39.039585,3056,253.5,252.1,244.6,-108.054064,38.941849,4522.7,2.17,3.99,44.7
20200211-18:35:01.350200,-108.192092,39.039585,3056,254.4,252.4,242.3,-108.054067,38.941851,4522.7,2.14,4,44.7
20200211-18:35:01.450200,-108.192,39.039493,3056,254.6,253.3,241.9,-108.054069,38.941854,4522.7,2.14,4,44.7
20200211-18:35:01.550200,-108.191907,39.039493,3056,254,252.6,240.4,-108.054072,38.941856,4522.7,2.14,4,44.7
20200211-18:35:01.650200,-108.191907,39.0394,3056,253.4,251.7,240.3,-108.054074,38.941858,4522.7,2.16,4.01,44.7
20200211-18:35:01.750200,-108.191814,39.0394,3056,253.1,251.9,239.5,-108.054077,38.94186,4522.7,2.18,4.01,44.7
20200211-18:35:01.850200,-108.191814,39.039307,3056,254.6,251.9,239.7,-108.05408,38.941863,4522.7,2.19,4.01,44.7
20200211-18:35:01.950220,-108.191722,39.039307,3056,254.1,251.7,240,-108.054082,38.941865,4522.7,2.17,4.01,44.7
20200211-18:35:02.050220,-108.191722,39.039215,3056,255.4,251.7,240.2,-108.054085,38.941867,4522.7,2.15,4.01,44.7
20200211-18:35:02.150220,-108.191629,39.039215,3056,253.4,249.5,240.8,-108.054087,38.941869,4522.7,2.13,4.01,44.7
20200211-18:35:02.250220,-108.191537,39.039122,3056,254.3,252.8,241,-108.05409,38.941871,4522.7,2.15,4.01,44.7
20200211-18:35:02.350220,-108.191537,39.039122,3056,253.3,252.4,241.7,-108.054092,38.941874,4522.7,2.16,4.02,44.7
20200211-18:35:02.450220,-108.191444,39.03903,3056,254.3,250.2,242.8,-108.054095,38.941876,4522.7,2.17,4.02,44.7
20200211-18:35:02.550240,-108.191351,39.03903,3057,254.9,250.4,244.2,-108.054097,38.941878,4522.7,2.18,4.02,44.7
20200211-18:35:02.650240,-108.191351,39.038937,3057,254.4,252.1,247.8,-108.0541,38.94188,4522.7,2.18,4.02,44.7
20200211-18:35:02.750240,-108.191259,39.038937,3057,255,253.7,248,-108.054102,38.941883,4522.7,2.16,4.02,44.7
20200211-18:35:02.850240,-108.191259,39.038844,3057,255.8,253.4,249.5,-108.054105,38.941885,4522.7,2.14,4.03,44.7
20200211-18:35:02.950240,-108.191166,39.038844,3057,255.5,252.6,251,-108.054108,38.941887,4522.7,2.14,4.03,44.7
20200211-18:35:03.050240,-108.191166,39.038752,3057,256.9,253.8,251.7,-108.05411,38.941889,4522.7,2.16,4.03,44.7
20200211-18:35:03.150260,-108.191074,39.038752,3058,257.4,254.1,253.6,-108.054113,38.941892,4522.7,2.19,4.03,44.7
20200211-18:35:03.250240,-108.191074,39.038659,3058,256.6,254.2,254.1,-108.054115,38.941894,4522.7,2.2,4.04,44.7
20200211-18:35:03.350260,-108.190981,39.038659,3058,255.2,254.4,255.6,-108.054118,38.941896,4522.6,2.2,4.04,44.7
20200211-18:35:03.450260,-108.190981,39.038567,3058,256,255.8,255.6,-108.05412,38.941898,4522.6,2.17,4.03,44.7
20200211-18:35:03.550260,-108.190888,39.038567,3059,255.3,254,256.4,-108.054123,38.9419,4522.6,2.14,4.04,44.7
20200211-18:35:03.650260,-108.190888,39.038474,3059,255.3,253.7,258.4,-108.054125,38.941903,4522.6,2.14,4.04,44.7
20200211-18:35:03.750260,-108.190796,39.038474,3059,258.2,256.7,256.2,-108.054128,38.941905,4522.6,2.15,4.05,44.7
20200211-18:35:03.850260,-108.190703,39.038381,3060,257.9,254.6,256.1,-108.05413,38.941907,4522.6,2.18,4.05,44.7
20200211-18:35:03.950280,-108.190703,39.038381,3060,256.7,255.3,255.9,-108.054133,38.941909,4522.6,2.19,4.05,44.7
20200211-18:35:04.050260,-108.190611,39.038289,3060,259.3,254,255.4,-108.054136,38.941912,4522.6,2.19,4.05,44.7
20200211-18:35:04.150280,-108.190611,39.038289,3060,257.3,254.1,254.6,-108.054138,38.941914,4522.6,2.17,4.05,44.7
20200211-18:35:04.250280,-108.190518,39.038196,3061,258.2,256.7,255.4,-108.054141,38.941916,4522.6,2.14,4.05,44.7
20200211-18:35:04.350280,-108.190425,39.038196,3061,259.9,254.7,254.6,-108.054143,38.941918,4522.6,2.15,4.05,44.7
20200211-18:35:04.450280,-108.190425,39.038104,3061,259.3,256.5,253.9,-108.054146,38.941921,4522.6,2.15,4.06,44.7
20200211-18:35:04.550280,-108.190333,39.038104,3062,260.5,256.1,254.6,-108.054148,38.941923,4522.6,2.18,4.06,44.7
20200211-18:35:04.650280,-108.190333,39.038011,3062,258.6,255.4,255.1,-108.054151,38.941925,4522.6,2.2,4.06,44.7
20200211-18:35:04.750300,-108.19024,39.038011,3063,259.9,257.8,252.9,-108.054153,38.941927,4522.6,2.2,4.06,44.7
20200211-18:35:04.850300,-108.19024,39.037918,3063,260.7,255.9,253.2,-108.054156,38.941929,4522.6,2.18,4.06,44.7
20200211-18:35:04.950300,-108.190148,39.037826,3063,259.2,256.4,252.4,-108.054158,38.941932,4522.6,2.16,4.07,44.7
20200211-18:35:05.050300,-108.190148,39.037826,3063,260.5,257.2,252.3,-108.054161,38.941934,4522.6,2.15,4.07,44.7
20200211-18:35:05.150300,-108.190055,39.037733,3063,261.1,254.6,252.6,-108.054163,38.941936,4522.6,2.16,4.07,44.7
20200211-18:35:05.350320,-108.189962,39.037641,3063,259.5,256.5,252.3,-108.054166,38.941938,4522.6,2.18,4.07,44.7
20200211-18:35:05.450300,-108.18987,39.037641,3063,259.2,256.9,252.6,-108.054169,38.941941,4522.6,2.2,4.07,44.7
20200211-18:35:05.550320,-108.18987,39.037548,3063,258.5,255.2,252.1,-108.054171,38.941943,4522.6,2.2,4.08,44.7
20200211-18:35:05.650320,-108.189777,39.037548,3063,258,254.3,251.8,-108.054174,38.941945,4522.6,2.17,4.08,44.7
20200211-18:35:05.750320,-108.189685,39.037455,3063,255.8,254.5,252.7,-108.054176,38.941947,4522.6,2.15,4.08,44.7
20200211-18:35:05.850320,-108.189685,39.037455,3063,256.7,253.5,252.4,-108.054179,38.94195,4522.6,2.15,4.08,44.7
20200211-18:35:05.950320,-108.189592,39.037363,3063,257.6,254.9,251.9,-108.054181,38.941952,4522.6,2.15,4.08,44.7
20200211-18:35:06.050320,-108.189592,39.037363,3063,257.5,252.9,251.8,-108.054184,38.941954,4522.6,2.18,4.09,44.7
20200211-18:35:06.150320,-108.1895,39.03727,3063,257.9,253.6,251.2,-108.054186,38.941956,4522.6,2.2,4.09,44.7
20200211-18:35:06.250320,-108.189407,39.03727,3063,256.3,252.7,250.2,-108.054189,38.941958,4522.6,2.21,4.09,44.7
20200211-18:35:06.350340,-108.189407,39.037178,3063,257.8,251.2,248.7,-108.054191,38.941961,4522.6,2.2,4.09,44.7
20200211-18:35:06.450340,-108.189314,39.037178,3063,257.2,251.7,248,-108.054194,38.941963,4522.5,2.18,4.09,44.7
20200211-18:35:06.550340,-108.189314,39.037085,3063,256.2,252.8,247.4,-108.054197,38.941965,4522.5,2.17,4.09,44.7
20200211-18:35:06.650340,-108.189222,39.037085,3063,257.8,251.6,246.1,-108.054199,38.941967,4522.5,2.16,4.1,44.7
20200211-18:35:06.750340,-108.189129,39.036992,3063,255.3,251.5,245.2,-108.054202,38.94197,4522.5,2.18,4.1,44.7
20200211-18:35:06.850340,-108.189129,39.036992,3063,255.7,252.3,242.8,-108.054204,38.941972,4522.5,2.19,4.1,44.7
20200211-18:35:06.950360,-108.189037,39.0369,3063,255.1,250.2,240.4,-108.054207,38.941974,4522.5,2.2,4.1,44.7
20200211-18:35:07.050340,-108.189037,39.0369,3063,252.3,249,238.7,-108.054209,38.941976,4522.5,2.19,4.1,44.7
20200211-18:35:07.150340,-108.188944,39.036807,3062,254.8,249,234.7,-108.054212,38.941979,4522.5,2.18,4.1,44.7
20200211-18:35:07.250360,-108.188851,39.036807,3062,253.8,250.8,232.2,-108.054214,38.941981,4522.5,2.15,4.1,44.7
20200211-18:35:07.350360,-108.188851,39.036715,3062,253.6,249.7,230.3,-108.054217,38.941983,4522.5,2.16,4.1,44.7
20200211-18:35:07.450360,-108.188759,39.036715,3062,254.2,247.8,227.8,-108.054219,38.941985,4522.5,2.18,4.11,44.7
20200211-18:35:07.550360,-108.188759,39.036622,3062,253.7,246.6,226,-108.054222,38.941987,4522.5,2.19,4.11,44.7
20200211-18:35:07.650360,-108.188666,39.036622,3062,253.3,248.1,224.8,-108.054225,38.94199,4522.5,2.21,4.11,44.7
20200211-18:35:07.750380,-108.188666,39.036529,3062,253.1,246.3,223.6,-108.054227,38.941992,4522.5,2.19,4.11,44.7
20200211-18:35:07.850380,-108.188574,39.036529,3062,255.2,247.8,222.1,-108.05423,38.941994,4522.5,2.19,4.12,44.7
20200211-18:35:07.950380,-108.188574,39.036437,3062,252.5,247.2,221.8,-108.054232,38.941996,4522.5,2.17,4.12,44.7
20200211-18:35:08.050380,-108.188481,39.036437,3062,254.7,243.2,221.8,-108.054235,38.941999,4522.5,2.17,4.12,44.7
20200211-18:35:08.150380,-108.188388,39.036344,3062,252.5,245.7,222.1,-108.054237,38.942001,4522.5,2.19,4.12,44.7
20200211-18:35:08.250380,-108.188388,39.036344,3062,251.9,244.5,222.3,-108.05424,38.942003,4522.5,2.2,4.12,44.7
20200211-18:35:08.350400,-108.188296,39.036252,3061,254.3,245.5,221.8,-108.054242,38.942005,4522.5,2.2,4.12,44.7
20200211-18:35:08.450400,-108.188203,39.036252,3061,254,246.4,222.9,-108.054245,38.942008,4522.5,2.2,4.13,44.7
20200211-18:35:08.550400,-108.188203,39.036159,3061,253,246.4,223.2,-108.054247,38.94201,4522.5,2.18,4.13,44.7
20200211-18:35:08.650400,-108.188111,39.036159,3061,252.7,246.3,223.5,-108.05425,38.942012,4522.5,2.17,4.13,44.7
20200211-18:35:08.750400,-108.188111,39.036066,3061,251.6,249.4,226.2,-108.054252,38.942014,4522.5,2.17,4.13,44.7
20200211-18:35:08.850400,-108.188018,39.036066,3061,254.5,248.1,225.2,-108.054255,38.942016,4522.5,2.17,4.13,44.7
20200211-18:35:08.950400,-108.188018,39.035974,3060,255,247.7,225.4,-108.054258,38.942019,4522.5,2.19,4.14,44.7
20200211-18:35:09.050400,-108.187925,39.035974,3060,253.4,246.6,226.9,-108.05426,38.942021,4522.5,2.19,4.14,44.7
20200211-18:35:09.150400,-108.187925,39.035881,3060,253.5,247.2,228.3,-108.054263,38.942023,4522.5,2.2,4.14,44.7
20200211-18:35:09.250400,-108.187833,39.035881,3060,253.5,248.1,230.9,-108.054265,38.942025,4522.5,2.19,4.14,44.7
20200211-18:35:09.350420,-108.187833,39.035789,3060,254.8,248.7,233,-108.054268,38.942028,4522.5,2.18,4.14,44.7
20200211-18:35:09.450420,-108.18774,39.035789,3060,252.6,249.4,238.4,-108.05427,38.94203,4522.5,2.18,4.14,44.7
20200211-18:35:09.550420,-108.187648,39.035696,3060,252.8,250,240.1,-108.054273,38.942032,4522.4,2.19,4.14,44.7
20200211-18:35:09.650420,-108.187648,39.035696,3060,255.8,249.4,242.3,-108.054275,38.942034,4522.4,2.19,4.14,44.7
20200211-18:35:09.750420,-108.187555,39.035604,3061,252.7,251.8,244.4,-108.054278,38.942037,4522.4,2.21,4.15,44.7
20200211-18:35:09.850420,-108.187555,39.035604,3061,253.7,251.5,245.5,-108.05428,38.942039,4522.4,2.21,4.15,44.7
20200211-18:35:09.950440,-108.187462,39.035511,3061,254.9,252.2,247.9,-108.054283,38.942041,4522.4,2.21,4.15,44.7
20200211-18:35:10.050440,-108.18737,39.035511,3061,253.8,251.2,248.7,-108.054286,38.942043,4522.4,2.19,4.15,44.7
20200211-18:35:10.150440,-108.18737,39.035418,3061,253.9,252,250.4,-108.054288,38.942045,4522.4,2.19,4.15,44.7
20200211-18:35:10.250440,-108.187277,39.035418,3062,254.9,253.2,251.6,-108.054291,38.942048,4522.4,2.18,4.15,44.7
20200211-18:35:10.350440,-108.187277,39.035326,3062,255.2,251.6,251.8,-108.054293,38.94205,4522.4,2.18,4.15,44.7
20200211-18:35:10.450440,-108.187185,39.035326,3063,253.2,254.3,252.2,-108.054296,38.942052,4522.4,2.19,4.16,44.7
20200211-18:35:10.550460,-108.187185,39.035233,3063,253.4,252,250.3,-108.054298,38.942054,4522.4,2.2,4.16,44.7
20200211-18:35:10.650460,-108.187092,39.035233,3063,253.1,250.3,249.8,-108.054301,38.942057,4522.4,2.2,4.16,44.7
20200211-18:35:10.750460,-108.187092,39.035141,3063,252.7,250.4,249.4,-108.054303,38.942059,4522.4,2.2,4.16,44.7
20200211-18:35:10.850460,-108.186999,39.035141,3064,253.8,251.5,247.5,-108.054306,38.942061,4522.4,2.19,4.16,44.7
20200211-18:35:10.950440,-108.186999,39.035048,3064,252.4,250,245.1,-108.054308,38.942063,4522.4,2.18,4.16,44.7
20200211-18:35:11.050460,-108.186907,39.034955,3064,253.3,249.8,242.8,-108.054311,38.942066,4522.4,2.18,4.16,44.7
20200211-18:35:11.150460,-108.186814,39.034955,3064,253.9,249.3,239.4,-108.054314,38.942068,4522.4,2.19,4.17,44.7
20200211-18:35:11.250460,-108.186814,39.034863,3064,253.3,247.6,238.3,-108.054316,38.94207,4522.4,2.21,4.17,44.7
20200211-18:35:11.350460,-108.186722,39.034863,3064,253.2,249.6,235.3,-108.054319,38.942072,4522.4,2.23,4.17,44.7
20200211-18:35:11.450480,-108.186722,39.03477,3064,251.9,248,234.3,-108.054321,38.942074,4522.4,2.22,4.17,44.7
20200211-18:35:11.550480,-108.186629,39.03477,3064,252.9,247.3,233.3,-108.054324,38.942077,4522.4,2.21,4.17,44.7
20200211-18:35:11.650480,-108.186629,39.034678,3064,254.8,247.1,231.4,-108.054326,38.942079,4522.4,2.19,4.17,44.7
20200211-18:35:11.750480,-108.186536,39.034678,3064,255,248.5,230.3,-108.054329,38.942081,4522.4,2.19,4.18,44.7
20200211-18:35:11.850480,-108.186444,39.034585,3064,252.7,248.3,228.9,-108.054331,38.942083,4522.4,2.19,4.18,44.7
20200211-18:35:11.950480,-108.186351,39.034585,3064,251.2,246.5,229.6,-108.054334,38.942086,4522.4,2.2,4.18,44.7
20200211-18:35:12.050480,-108.186351,39.034492,3063,252.7,248,230.1,-108.054336,38.942088,4522.4,2.21,4.18,44.7
20200211-18:35:12.150480,-108.186259,39.034492,3063,252.3,246.6,230.6,-108.054339,38.94209,4522.4,2.21,4.18,44.7
20200211-18:35:12.250500,-108.186259,39.0344,3063,256.5,248,232,-108.054341,38.942092,4522.4,2.2,4.18,44.7
20200211-18:35:12.350500,-108.186166,39.0344,3063,254.1,247.2,232.8,-108.054344,38.942095,4522.4,2.18,4.18,44.7
20200211-18:35:12.450500,-108.186166,39.034307,3063,255.9,246,234.6,-108.054347,38.942097,4522.4,2.18,4.18,44.7
20200211-18:35:12.550500,-108.186073,39.034307,3063,253.5,245.2,236.6,-108.054349,38.942099,4522.4,2.18,4.18,44.7
20200211-18:35:12.650500,-108.185981,39.034215,3064,255,247.7,239.1,-108.054352,38.942101,4522.4,2.2,4.19,44.7
20200211-18:35:12.750500,-108.185981,39.034122,3064,253.4,245.5,240.4,-108.054354,38.942103,4522.4,2.22,4.19,44.7
20200211-18:35:12.850500,-108.185888,39.034122,3064,254.4,247.5,240.9,-108.054357,38.942106,4522.4,2.23,4.19,44.7
20200211-18:35:12.950500,-108.185888,39.034029,3064,254.2,248.4,244.1,-108.054359,38.942108,4522.3,2.23,4.19,44.7
20200211-18:35:13.050500,-108.185796,39.034029,3065,254,247.3,244.7,-108.054362,38.94211,4522.3,2.2,4.19,44.7
20200211-18:35:13.150520,-108.185796,39.033937,3065,253.8,247.1,245.7,-108.054364,38.942112,4522.3,2.19,4.19,44.7
20200211-18:35:13.250520,-108.185703,39.033937,3065,252.8,246.2,244.8,-108.054367,38.942115,4522.3,2.19,4.19,44.7
20200211-18:35:13.350520,-108.185703,39.033844,3065,252.7,247.9,244.8,-108.054369,38.942117,4522.3,2.19,4.2,44.7
20200211-18:35:13.450520,-108.18561,39.033844,3066,254,246.3,243.5,-108.054372,38.942119,4522.3,2.22,4.2,44.7
20200211-18:35:13.550520,-108.185518,39.033752,3066,251.9,246.9,242.6,-108.054375,38.942121,4522.3,2.21,4.2,44.7
20200211-18:35:13.650540,-108.185518,39.033752,3066,253.8,245.1,239.6,-108.054377,38.942124,4522.3,2.21,4.2,44.7
20200211-18:35:13.750520,-108.185425,39.033659,3066,251.9,244.7,238.2,-108.05438,38.942126,4522.3,2.2,4.2,44.7
20200211-18:35:13.850540,-108.185333,39.033659,3067,248.1,243.8,233.7,-108.054382,38.942128,4522.3,2.18,4.2,44.7
20200211-18:35:13.950540,-108.185333,39.033566,3067,247.6,243.2,231,-108.054385,38.94213,4522.3,2.18,4.2,44.7
20200211-18:35:14.050540,-108.18524,39.033566,3067,248.5,243.7,228.2,-108.054387,38.942132,4522.3,2.19,4.21,44.7
20200211-18:35:14.150540,-108.18524,39.033474,3067,249.2,241.8,225,-108.05439,38.942135,4522.3,2.21,4.21,44.7
20200211-18:35:14.250540,-108.185147,39.033474,3067,248.9,241.6,221.6,-108.054392,38.942137,4522.3,2.22,4.21,44.7
20200211-18:35:14.350560,-108.185147,39.033381,3066,248.3,241.1,219,-108.054395,38.942139,4522.3,2.24,4.21,44.7
20200211-18:35:14.450560,-108.185055,39.033381,3066,248.1,240.5,217.1,-108.054397,38.942141,4522.3,2.22,4.21,44.7
20200211-18:35:14.550560,-108.184962,39.033289,3066,248.5,241.9,216.2,-108.0544,38.942144,4522.3,2.21,4.21,44.7
20200211-18:35:14.650560,-108.184962,39.033289,3066,248.8,238.1,212.6,-108.054403,38.942146,4522.3,2.19,4.21,44.7
20200211-18:35:14.750560,-108.18487,39.033196,3067,249.7,238.8,211.7,-108.054405,38.942148,4522.3,2.2,4.21,44.7
20200211-18:35:14.850560,-108.184777,39.033196,3066,248.2,238.7,209.4,-108.054408,38.94215,4522.3,2.21,4.22,44.7
20200211-18:35:14.950560,-108.184777,39.033103,3066,248.8,238.4,208.8,-108.05441,38.942152,4522.3,2.23,4.22,44.7
20200211-18:35:15.050560,-108.184684,39.033103,3067,248,238.7,208,-108.054413,38.942155,4522.3,2.24,4.22,44.7
20200211-18:35:15.150560,-108.184684,39.033011,3066,249.4,236,208.6,-108.054415,38.942157,4522.3,2.22,4.21,44.7
20200211-18:35:15.250580,-108.184592,39.033011,3067,248.3,237.3,209,-108.054418,38.942159,4522.3,2.2,4.21,44.7
20200211-18:35:15.350560,-108.184592,39.032918,3066,248.7,236.9,208.8,-108.05442,38.942161,4522.3,2.18,4.22,44.7
20200211-18:35:15.450580,-108.184499,39.032918,3066,243,237.6,209.5,-108.054423,38.942164,4522.3,2.18,4.22,44.7
20200211-18:35:15.550580,-108.184407,39.032826,3066,246.4,235.1,209.2,-108.054425,38.942166,4522.3,2.2,4.22,44.7
20200211-18:35:15.650580,-108.184407,39.032826,3066,247.3,237.3,209,-108.054428,38.942168,4522.3,2.22,4.22,44.7
20200211-18:35:15.750580,-108.184314,39.032733,3066,246.6,236.6,208.8,-108.054431,38.94217,4522.3,2.24,4.22,44.7
20200211-18:35:15.850600,-108.184314,39.03264,3065,247.4,237.3,208.9,-108.054433,38.942173,4522.3,2.23,4.22,44.7
20200211-18:35:15.950600,-108.184221,39.03264,3065,244.9,237.7,208.8,-108.054436,38.942175,4522.3,2.22,4.22,44.7
20200211-18:35:16.050600,-108.184129,39.03264,3065,245.2,237.9,209.4,-108.054438,38.942177,4522.3,2.2,4.22,44.7
20200211-18:35:16.150600,-108.184129,39.032548,3065,244.9,238,209.5,-108.054441,38.942179,4522.3,2.2,4.22,44.7
20200211-18:35:16.250600,-108.184036,39.032548,3065,249,235.5,210.1,-108.054443,38.942181,4522.3,2.21,4.22,44.7
20200211-18:35:16.350600,-108.184036,39.032455,3065,247.3,238.1,210.2,-108.054446,38.942184,4522.3,2.23,4.23,44.7
20200211-18:35:16.450620,-108.183944,39.032363,3065,247.8,238.8,209.7,-108.054448,38.942186,4522.3,2.25,4.23,44.7
20200211-18:35:16.550600,-108.183851,39.032363,3065,249.2,237.1,210.7,-108.054451,38.942188,4522.3,2.24,4.22,44.7
20200211-18:35:16.650600,-108.183851,39.03227,3065,245.9,237.5,210.8,-108.054453,38.94219,4522.2,2.22,4.22,44.7
20200211-18:35:16.750600,-108.183758,39.03227,3065,246.7,240.2,209.8,-108.054456,38.942193,4522.2,2.19,4.23,44.7
20200211-18:35:16.850620,-108.183758,39.032177,3065,251.8,238.9,211,-108.054458,38.942195,4522.2,2.18,4.23,44.7
20200211-18:35:16.950620,-108.183666,39.032177,3065,252.5,238,211.5,-108.054461,38.942197,4522.2,2.19,4.23,44.7
20200211-18:35:17.050620,-108.183666,39.032085,3065,249.6,238.8,210.2,-108.054464,38.942199,4522.2,2.22,4.23,44.7
20200211-18:35:17.150620,-108.183573,39.032085,3065,249.9,238,210.6,-108.054466,38.942202,4522.2,2.25,4.23,44.7
20200211-18:35:17.250620,-108.183481,39.031992,3065,250.8,236.8,210.3,-108.054469,38.942204,4522.2,2.25,4.23,44.7
20200211-18:35:17.350620,-108.183388,39.031992,3065,252.1,238.2,210.4,-108.054471,38.942206,4522.2,2.23,4.23,44.7
20200211-18:35:17.450640,-108.183388,39.0319,3065,249.5,237.3,210.7,-108.054474,38.942208,4522.2,2.2,4.23,44.7
20200211-18:35:17.550620,-108.183296,39.0319,3065,247.5,237.1,210.8,-108.054476,38.94221,4522.2,2.19,4.23,44.7
20200211-18:35:17.650640,-108.183296,39.031807,3065,250.1,236.4,210.6,-108.054479,38.942213,4522.2,2.21,4.23,44.7
20200211-18:35:17.750640,-108.183203,39.031807,3065,250.5,236.7,209.9,-108.054481,38.942215,4522.2,2.23,4.23,44.7
20200211-18:35:17.850640,-108.183203,39.031714,3066,250.5,236.3,211.3,-108.054484,38.942217,4522.2,2.25,4.23,44.7
20200211-18:35:17.950640,-108.18311,39.031714,3066,249.2,236.5,210.6,-108.054486,38.942219,4522.2,2.26,4.23,44.7
20200211-18:35:18.050660,-108.183018,39.031622,3066,246.5,237,210.5,-108.054489,38.942222,4522.2,2.24,4.23,44.7
20200211-18:35:18.150640,-108.183018,39.031529,3066,246.9,236.4,210.4,-108.054492,38.942224,4522.2,2.22,4.23,44.7
20200211-18:35:18.250660,-108.182925,39.031529,3066,248.5,239.7,210.4,-108.054494,38.942226,4522.2,2.19,4.23,44.7
20200211-18:35:18.350660,-108.182925,39.031437,3066,247.6,237,210.7,-108.054497,38.942228,4522.2,2.2,4.23,44.7
20200211-18:35:18.450660,-108.182833,39.031437,3066,248,237.8,210.4,-108.054499,38.94223,4522.2,2.22,4.23,44.7
20200211-18:35:18.550660,-108.182833,39.031344,3066,248.4,239.5,210.3,-108.054502,38.942233,4522.2,2.24,4.23,44.7
20200211-18:35:18.650660,-108.18274,39.031344,3066,248.9,239,211.2,-108.054504,38.942235,4522.2,2.25,4.23,44.7
20200211-18:35:18.750680,-108.182647,39.031251,3067,249.6,240,212.4,-108.054507,38.942237,4522.2,2.24,4.23,44.7
20200211-18:35:18.850660,-108.182555,39.031251,3067,250.1,239.8,213.4,-108.054509,38.942239,4522.2,2.21,4.23,44.7
20200211-18:35:18.950660,-108.182555,39.031159,3067,248.2,241.3,214.3,-108.054512,38.942242,4522.2,2.19,4.23,44.7
20200211-18:35:19.050660,-108.182462,39.031159,3067,250.7,241.1,215.8,-108.054514,38.942244,4522.2,2.2,4.23,44.7
20200211-18:35:19.150680,-108.182462,39.031066,3067,250.7,243.2,216.4,-108.054517,38.942246,4522.2,2.23,4.24,44.7
20200211-18:35:19.250680,-108.18237,39.031066,3068,250.1,245.1,218.6,-108.05452,38.942248,4522.2,2.25,4.24,44.7
20200211-18:35:19.350680,-108.18237,39.030974,3068,248.5,244,220.2,-108.054522,38.942251,4522.2,2.26,4.23,44.7
20200211-18:35:19.450680,-108.182277,39.030974,3068,249.8,245.3,223.5,-108.054525,38.942253,4522.2,2.26,4.23,44.7
20200211-18:35:19.550680,-108.182184,39.030881,3068,250.8,245.5,225.1,-108.054527,38.942255,4522.2,2.23,4.23,44.7
20200211-18:35:19.650680,-108.182184,39.030788,3068,250.7,245.8,227.9,-108.05453,38.942257,4522.2,2.22,4.24,44.7
20200211-18:35:19.750700,-108.182092,39.030788,3068,251.8,247.2,229.9,-108.054532,38.942259,4522.2,2.21,4.23,44.7
20200211-18:35:19.850700,-108.182092,39.030696,3069,252.1,247.8,233.6,-108.054535,38.942262,4522.2,2.22,4.23,44.7
20200211-18:35:19.950700,-108.181999,39.030696,3068,253.7,248.1,234.6,-108.054537,38.942264,4522.2,2.24,4.23,44.7
20200211-18:35:20.050700,-108.181999,39.030603,3069,254.4,248.6,237.6,-108.05454,38.942266,4522.2,2.25,4.23,44.7
20200211-18:35:20.150700,-108.181907,39.030603,3069,253.5,250.2,240.7,-108.054542,38.942268,4522.2,2.25,4.23,44.7
20200211-18:35:20.250700,-108.181814,39.030511,3069,255.4,249.8,242.4,-108.054545,38.942271,4522.2,2.23,4.23,44.7
20200211-18:35:20.350700,-108.181814,39.030511,3069,254,250.9,244.7,-108.054547,38.942273,4522.2,2.22,4.23,44.7
20200211-18:35:20.450700,-108.181721,39.030418,3070,254.8,251.1,247.2,-108.05455,38.942275,4522.2,2.21,4.23,44.7
20200211-18:35:20.550720,-108.181629,39.030418,3070,256.3,252,248.7,-108.054553,38.942277,4522.2,2.22,4.23,44.7
20200211-18:35:20.650720,-108.181629,39.030325,3070,256.1,251.8,249.5,-108.054555,38.94228,4522.2,2.24,4.23,44.7
20200211-18:35:20.750720,-108.181536,39.030325,3070,255.2,252.8,249.6,-108.054558,38.942282,4522.2,2.26,4.23,44.7
20200211-18:35:20.850720,-108.181536,39.030233,3070,255,253.8,250.4,-108.05456,38.942284,4522.1,2.26,4.23,44.7
20200211-18:35:20.950720,-108.181444,39.030233,3070,256.4,253.4,251.9,-108.054563,38.942286,4522.1,2.25,4.23,44.7
20200211-18:35:21.050720,-108.181444,39.03014,3070,257.3,255.3,252,-108.054565,38.942288,4522.1,2.24,4.23,44.7
20200211-18:35:21.150740,-108.181351,39.03014,3070,256.7,254.7,252.4,-108.054568,38.942291,4522.1,2.22,4.23,44.7
20200211-18:35:21.250740,-108.181258,39.030048,3070,257.3,256.7,252.5,-108.05457,38.942293,4522.1,2.23,4.23,44.7
20200211-18:35:21.350740,-108.181258,39.030048,3070,258.6,257.4,253.2,-108.054573,38.942295,4522.1,2.24,4.23,44.7
20200211-18:35:21.450740,-108.181166,39.029955,3070,258.1,257,253.7,-108.054575,38.942297,4522.1,2.25,4.23,44.7
20200211-18:35:21.550740,-108.181166,39.029862,3070,258.6,256,254.2,-108.054578,38.9423,4522.1,2.26,4.23,44.7
20200211-18:35:21.650740,-108.181073,39.029862,3070,258.5,257.5,254.7,-108.054583,38.942304,4522.1,2.24,4.23,44.7
20200211-18:35:21.750740,-108.180981,39.029862,3070,258.1,257.1,254.4,-108.054586,38.942306,4522.1,2.23,4.23,44.7
20200211-18:35:21.850740,-108.180981,39.02977,3070,257.9,259.8,255.1,-108.054588,38.942308,4522.1,2.23,4.23,44.7
